,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
5055,5851,evaluate and grade students class work assignments and papers,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5059,5856,initiate facilitate and moderate classroom discussions,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5061,5858,advise students on academic and vocational curricula and on career issues,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5062,5853,collaborate with colleagues to address teaching and research issues,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5064,5984,prepare and deliver lectures to undergraduate or graduate students on topics such as econometrics price theory and macroeconomics,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5068,5986,evaluate and grade students class work assignments and papers,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5069,5993,plan evaluate and revise curricula course content course materials and methods of instruction,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5072,5990,initiate facilitate and moderate classroom discussions,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5073,5995,supervise undergraduate or graduate teaching internship and research work,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5074,5991,maintain regularly scheduled office hours to advise and assist students,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5075,5996,advise students on academic and vocational curricula and on career issues,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5076,5998,collaborate with colleagues to address teaching and research issues,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5078,6001,perform administrative duties such as serving as department head,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5079,6000,participate in student recruitment registration and placement activities,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5081,5997,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5083,6004,provide professional consulting services to government or industry,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,3,-0.5952658735134765,3.4
5084,6003,participate in campus and community events,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5085,6005,act as advisers to student organizations,"Economics Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5086,6032,prepare and deliver lectures to undergraduate or graduate students on topics such as classical political thought international relations and democracy and citizenship,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5087,6036,keep abreast of developments in the field by reading current literature talking with colleagues and participating in professional conferences,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5088,6033,evaluate and grade students class work assignments and papers,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5089,6031,initiate facilitate and moderate classroom discussions,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5090,6037,plan evaluate and revise curricula course content course materials and methods of instruction,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5094,6043,supervise undergraduate or graduate teaching internship and research work,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5096,6039,maintain regularly scheduled office hours to advise and assist students,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5097,6040,advise students on academic and vocational curricula and on career issues,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5099,6044,collaborate with colleagues to address teaching and research issues,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5100,6050,perform administrative duties such as serving as department head,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5103,6047,participate in student recruitment registration and placement activities,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5104,6049,act as advisers to student organizations,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5106,6046,participate in campus and community events,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5107,6052,provide professional consulting services to government or industry,"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5108,6053,prepare and deliver lectures to undergraduate or graduate students on topics such as abnormal psychology cognitive processes and work motivation,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5109,6055,initiate facilitate and moderate classroom discussions,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5110,6054,evaluate and grade students class work laboratory work assignments and papers,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5114,6061,supervise undergraduate or graduate teaching internship and research work,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5115,21119,recruit and hire new faculty,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5116,6059,plan evaluate and revise curricula course content course materials and methods of instruction,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5120,6071,perform administrative duties such as serving as department head,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5121,6066,collaborate with colleagues to address teaching and research issues,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5122,6064,advise students on academic and vocational curricula and on career issues,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5126,6067,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5129,6070,supervise students laboratory work,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5130,20082,supervise the clinical work of practicum students,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5131,20081,provide clinical services to clients such as assessing psychological problems and conducting psychotherapy,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5134,6072,act as advisers to student organizations,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5135,6074,participate in campus and community events,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5136,6075,provide professional consulting services to government or industry,"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5137,6076,evaluate and grade students class work assignments and papers,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,3,-0.8745325892310554,3.4
5138,6078,initiate facilitate and moderate classroom discussions,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5140,6077,prepare and deliver lectures to undergraduate or graduate students on topics such as race and ethnic relations measurement and data collection and workplace social relations,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5144,6084,plan evaluate and revise curricula course content course materials and methods of instruction,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,3,-0.5952658735134765,3.4
5146,6089,supervise undergraduate or graduate teaching internship and research work,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5147,6083,maintain regularly scheduled office hours to advise and assist students,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5148,6085,advise students on academic and vocational curricula and on career issues,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5149,6093,supervise students laboratory and field work,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5151,6086,collaborate with colleagues to address teaching and research issues,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5152,6090,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5155,21121,mentor new faculty,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5157,6092,perform administrative duties such as serving as department head,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5158,6097,participate in campus and community events,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5159,6095,act as advisers to student organizations,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5160,6098,provide professional consulting services to government or industry,"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5163,6102,evaluate and grade students class work assignments and papers,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5164,6109,supervise laboratory sessions,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5167,6099,initiate facilitate and moderate classroom discussions,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5168,6105,plan evaluate and revise curricula course content course materials and methods of instruction,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5169,6106,supervise undergraduate or graduate teaching internship and research work,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5172,6108,collaborate with colleagues to address teaching and research issues,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5173,6115,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5174,6112,advise students on academic and vocational curricula and on career issues,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5175,6111,maintain regularly scheduled office hours to advise and assist students,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5177,6121,participate in campus and community events,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5178,6104,prepare and deliver lectures to undergraduate or graduate students on topics such as public health stress management and work site health promotion,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5179,6118,perform administrative duties such as serving as department head,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5181,6117,act as advisers to student organizations,"Health Specialties Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5187,6153,supervise students fieldwork internship and research work,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5189,6149,prepare and deliver lectures to undergraduate or graduate students on topics such as childrens literature learning and development and reading instruction,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5190,6150,initiate facilitate and moderate classroom discussions,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5191,6158,collaborate with colleagues to address teaching and research issues,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,3,4,4,-0.8326546575245659,3.6
5192,6152,plan evaluate and revise curricula course content course materials and methods of instruction,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5193,6156,maintain regularly scheduled office hours to advise and assist students,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5194,6155,advise students on academic and vocational curricula and on career issues,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5195,6162,participate in student recruitment registration and placement activities,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5197,6168,perform administrative duties such as serving as department head,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5199,6164,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5201,20086,serve as a liaison between the university and other governmental and educational agencies,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5202,6163,advise and instruct teachers employed in school systems by providing activities such as inservice seminars,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5203,6167,participate in campus and community events,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5205,6169,act as advisers to student organizations,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5206,6170,provide professional consulting services to government or industry,"Education Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5207,20087,conduct research in a particular field of knowledge and present findings in professional journals books electronic media or at professional conferences,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,2,3,4,4,4,-0.34932919918854743,3.4
5210,6172,prepare and deliver lectures to undergraduate or graduate students on topics such as collection development archival methods and indexing and abstracting,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5212,6176,plan evaluate and revise curricula course content course materials and methods of instruction,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5213,6175,initiate facilitate and moderate classroom discussions,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5216,6180,advise students on academic and vocational curricula and on career issues,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5218,6182,supervise undergraduate or graduate teaching internship and research work,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5219,20089,develop and teach online courses,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,2,4,4,4,-0.7551958373830276,3.6
5220,6179,collaborate with colleagues to address teaching and research issues,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5223,6186,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5224,6183,maintain regularly scheduled office hours to advise and assist students,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5226,6189,perform administrative duties such as serving as department head,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5227,6187,participate in student recruitment registration and placement activities,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5228,6190,participate in campus and community events,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5229,6191,act as advisers to student organizations,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5231,6192,provide professional consulting services to government or industry,"Library Science Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,3,-0.5952658735134765,3.4
5232,6218,initiate facilitate and moderate classroom discussions,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5233,6215,evaluate and grade students class work assignments papers and oral presentations,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5237,6217,prepare and deliver lectures to undergraduate or graduate students on topics such as civil procedure contracts and torts,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5240,6221,plan evaluate and revise curricula course content course materials and methods of instruction,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5243,6224,advise students on academic and vocational curricula and on career issues,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5245,6225,supervise undergraduate or graduate teaching internship and research work,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5246,6230,collaborate with colleagues to address teaching and research issues,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5248,6234,act as advisers to student organizations,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5249,6231,participate in student recruitment registration and placement activities,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,3,-0.8745325892310554,3.4
5250,6229,perform administrative duties such as serving as department head,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5251,6233,participate in campus and community events,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5254,6236,provide professional consulting services to government or industry,"Law Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5255,6238,initiate facilitate and moderate classroom discussions,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5258,6243,supervise students laboratory and field work,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5259,6240,prepare and deliver lectures to undergraduate or graduate students on topics such as family behavior child and adolescent mental health or social intervention evaluation,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5260,6245,supervise undergraduate or graduate teaching internship and research work,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5262,6247,plan evaluate and revise curricula course content course materials and methods of instruction,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5264,6248,collaborate with colleagues and community agencies to address teaching and research issues,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5265,6250,advise students on academic and vocational curricula and on career issues,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5267,6246,maintain regularly scheduled office hours to advise and assist students,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5268,6257,participate in student recruitment registration and placement activities,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5271,6253,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5272,23911,mentor new faculty members,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5273,6258,participate in campus and community events,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5274,6260,act as advisers to student organizations,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5276,6254,perform administrative duties such as serving as department head,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,3,4,-0.6285959149061263,3.4
5277,6252,write grant proposals to procure external research funding,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5278,6259,provide professional consulting services to government or industry,"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5279,6288,evaluate and grade students class work assignments and papers,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5280,6290,initiate facilitate and moderate classroom discussions,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5283,6291,prepare and deliver lectures to undergraduate or graduate students on topics such as public speaking media criticism and oral traditions,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5285,6294,plan evaluate and revise curricula course content course materials and methods of instruction,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,3,4,4,-0.5191236321500025,3.4
5286,6295,maintain regularly scheduled office hours to advise and assist students,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5287,6297,advise students on academic and vocational curricula and on career issues,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5289,6300,collaborate with colleagues to address teaching and research issues,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5290,6302,participate in student recruitment registration and placement activities,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5292,6303,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5293,6306,participate in campus and community events,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5295,6305,act as advisers to student organizations,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,4,-1.0195857604222283,3.6
5296,6307,perform administrative duties such as serving as department head,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5297,6298,supervise undergraduate or graduate teaching internship and research work,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5300,6309,provide professional consulting services to government or industry,"Communications Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
5301,21127,teach writing or communication classes,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5302,6311,evaluate and grade students class work assignments and papers,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5304,6310,initiate facilitate and moderate classroom discussions,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,4,-1.0195857604222283,3.6
5306,6315,plan evaluate and revise curricula course content course materials and methods of instruction,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5307,6313,prepare and deliver lectures to undergraduate or graduate students on topics such as poetry novel structure and translation and adaptation,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5308,20093,assist students who need extra help with their coursework outside of class,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5311,6317,maintain regularly scheduled office hours to advise and assist students,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5312,6321,conduct research in a particular field of knowledge and publish findings in professional journals books or electronic media,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,3,3,4,4,4,-0.6628602245631109,3.6
5313,6320,advise students on academic and vocational curricula and on career issues,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5314,20098,teach classes using online technology,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5316,6322,collaborate with colleagues to address teaching and research issues,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,4,-0.9763912499376743,3.8
5319,6323,serve on academic or administrative committees that deal with institutional policies departmental matters and academic issues,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,3,4,-0.9421269402806898,3.6
5320,6324,participate in campus and community events,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5321,6325,participate in student recruitment registration and placement activities,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5324,6327,supervise undergraduate or graduate teaching internship and research work,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,4,4,-1.197586662492321,4.0
5325,6329,perform administrative duties such as serving as department head,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5326,20096,recruit train and supervise department personnel such as faculty and student writing instructors,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,4,-1.1633223528353365,3.8
5327,6328,provide assistance to students in college writing centers,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5328,20097,conduct staff performance evaluations,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,4,3,3,-1.095728001785702,3.6
5329,20095,write original literary pieces,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,2,4,4,3,-0.6876014863333932,3.4
5330,6331,act as advisers to student organizations,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,4,3,3,3,-0.9519914093725937,3.4
5333,6333,provide professional consulting services to government or industry,"English Language and Literature Teachers, Postsecondary",Educational Instruction and Library Occupations,4,3,4,4,3,-0.9087968988880399,3.6
